student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score
41,Student_040,11C,73.9,72.5,85.6,62.6,13.8,71.5
42,Student_041,10C,67.1,43.1,55.6,86.0,62.6,62.2
43,Student_042,11A,63.6,67.9,77.1,84.6,86.4,75.6
44,Student_043,10A,61.4,81.6,61.5,57.1,81.5,67.0
45,Student_044,11B,47.3,22.9,59.6,55.2,40.2,44.9
46,Student_045,11A,56.4,48.0,74.4,69.1,36.7,64.9
47,Student_046,10C,59.5,68.7,71.1,50.0,7.7,57.7
48,Student_047,11A,77.7,57.0,39.9,66.9,74.7,55.8
49,Student_048,12B,69.1,65.6,82.7,73.0,15.8,79.8
50,Student_049,12A,43.8,50.9,81.3,79.0,34.3,67.2
51,Student_050,11A,68.9,61.3,53.2,61.7,16.7,52.9
52,Student_051,10C,60.4,57.7,67.5,60.4,7.2,62.8
53,Student_052,11C,56.9,77.5,68.9,51.6,49.7,61.8
54,Student_053,12C,72.3,63.8,65.6,52.3,5.0,64.2
55,Student_054,12B,77.4,65.1,54.3,60.1,69.0,70.5
56,Student_055,10A,76.2,53.8,52.6,67.8,19.1,60.9
57,Student_056,12A,54.9,52.7,61.6,74.9,5.0,51.7
58,Student_057,9A,61.3,53.5,78.4,52.6,35.8,57.1
59,Student_058,10C,69.0,65.9,69.6,82.4,5.0,61.8
60,Student_059,10C,76.7,53.7,56.8,59.5,16.2,56.9
61,Student_060,12C,59.2,64.3,72.8,62.7,61.4,65.3
62,Student_061,9B,62.8,91.1,25.0,53.3,5.0,53.9
63,Student_062,12C,51.7,73.1,78.1,31.5,91.4,68.1
64,Student_063,12C,50.6,55.1,37.6,74.5,5.0,59.5
65,Student_064,11C,74.8,78.0,56.9,72.6,14.2,65.6
66,Student_065,9C,81.3,53.9,46.3,59.3,67.5,66.9
67,Student_066,9C,64.1,29.4,43.9,63.9,19.0,52.7
68,Student_067,11C,77.0,44.9,78.3,69.7,5.4,67.6
69,Student_068,11A,69.3,31.9,55.5,42.7,22.3,52.0
70,Student_069,11B,57.3,54.7,66.9,56.1,15.8,61.2
71,Student_070,10B,69.3,60.3,61.3,73.3,92.5,72.9
72,Student_071,9C,83.5,85.1,68.7,46.7,18.8,65.3
73,Student_072,11C,64.6,64.9,63.1,66.8,77.8,72.9
74,Student_073,10C,83.8,56.7,44.0,45.4,111.2,73.3
75,Student_074,9C,33.6,72.4,75.9,69.1,28.4,53.1
76,Student_075,11C,74.9,26.8,55.1,62.5,120.4,63.2
77,Student_076,10A,66.0,63.5,40.2,42.0,23.7,59.3
78,Student_077,11A,61.4,71.6,56.0,78.1,166.3,74.4
79,Student_078,9C,66.1,37.8,83.0,53.5,5.0,64.0
80,Student_079,11B,41.1,77.2,73.9,52.5,58.1,75.2
81,Student_080,9A,62.4,65.1,57.1,65.6,34.0,57.4
82,Student_081,11B,69.3,53.8,57.1,77.9,24.5,54.5
83,Student_082,10A,82.7,69.5,57.5,49.8,50.1,71.1
84,Student_083,10C,58.8,94.1,91.1,63.8,60.8,81.1
85,Student_084,9A,55.3,62.7,67.3,68.6,5.0,57.8
86,Student_085,12A,59.0,63.7,68.0,72.0,9.1,70.4
87,Student_086,10A,76.0,53.1,76.4,65.3,62.4,61.9
88,Student_087,12C,68.9,47.3,65.3,58.2,54.9,66.3
89,Student_088,10B,58.6,72.5,58.4,52.2,169.1,68.0
90,Student_089,12A,71.2,47.2,59.3,64.1,71.6,74.2
91,Student_090,10C,66.2,61.1,61.0,49.1,150.6,82.0
92,Student_091,11B,76.6,52.8,61.5,25.0,60.6,56.3
93,Student_092,11B,56.6,67.2,72.2,68.7,17.7,59.5
94,Student_093,12A,61.1,65.0,62.7,74.8,5.6,67.0
95,Student_094,10A,60.3,75.6,72.3,32.3,76.1,63.1
96,Student_095,9B,47.4,52.3,60.9,49.9,51.7,53.2
97,Student_096,9C,68.6,56.0,63.1,71.0,5.0,61.8
98,Student_097,10C,68.1,45.3,34.0,89.7,22.3,45.7
99,Student_098,10A,65.1,53.3,74.8,63.3,157.1,73.0
100,Student_099,9C,62.2,65.7,66.9,53.5,34.7,58.2
101,Student_100,9A,48.0,71.4,76.0,60.6,28.3,58.2
102,Student_101,9A,60.0,46.2,25.0,80.9,30.6,60.8
103,Student_102,11A,60.9,73.0,91.2,54.6,11.7,59.4
104,Student_103,10B,55.4,80.3,60.0,52.6,23.0,66.1
105,Student_104,12A,63.1,66.2,77.5,56.7,23.1,62.8
106,Student_105,10C,69.8,88.2,47.4,50.6,5.0,62.3
107,Student_106,12A,87.6,48.4,70.6,64.6,73.0,77.2
108,Student_107,12B,67.1,41.3,47.3,84.1,26.9,60.1
109,Student_108,10A,68.1,33.3,53.3,67.2,86.3,63.2
110,Student_109,9C,64.1,82.4,88.8,59.7,95.0,83.2
111,Student_110,12B,42.0,69.8,59.3,59.2,11.9,51.9
112,Student_111,12B,64.7,59.2,65.0,42.7,53.6,57.5
113,Student_112,12C,65.7,64.2,74.2,74.5,32.0,61.1
114,Student_113,9C,94.6,43.1,68.9,62.0,106.1,70.5
115,Student_114,9A,62.7,96.7,64.1,60.7,12.2,86.7
116,Student_115,12C,68.6,61.9,67.1,100.0,56.6,79.9
117,Student_116,11A,64.6,61.6,95.6,66.9,46.8,62.8
118,Student_117,10A,51.0,70.9,61.2,53.2,17.5,49.3
119,Student_118,10C,78.7,67.2,64.8,57.5,7.3,69.4
120,Student_119,12A,74.0,63.4,76.7,77.9,52.7,76.3
121,Student_120,12A,74.5,48.1,77.5,64.5,67.1,71.9
122,Student_121,11B,54.1,67.1,78.6,44.3,19.0,58.1
123,Student_122,10A,81.8,88.2,70.9,74.9,51.8,79.5
124,Student_123,12C,48.2,80.2,46.0,54.3,25.1,58.2
125,Student_124,9A,72.0,83.9,84.9,87.4,62.4,81.8
126,Student_125,9A,91.3,52.3,46.0,77.0,11.1,53.4
127,Student_126,10A,53.1,45.2,66.2,57.2,110.5,59.2
128,Student_127,12B,58.2,58.1,51.4,79.7,16.9,53.4
129,Student_128,12A,66.2,60.8,61.1,63.9,22.9,63.1
130,Student_129,12A,59.0,76.4,66.6,74.1,5.0,82.5
131,Student_130,10B,46.4,34.6,66.5,69.3,5.9,51.3
132,Student_131,9B,65.8,82.9,67.9,52.0,36.3,66.2
133,Student_132,11B,52.3,57.6,84.6,54.6,15.6,64.6
134,Student_133,11B,70.7,53.6,68.3,76.4,90.2,73.4
135,Student_134,12A,54.0,44.8,58.6,58.6,5.0,53.5
136,Student_135,10B,83.6,35.2,75.5,57.8,23.8,67.4
137,Student_136,10A,55.6,72.3,78.7,50.6,20.6,74.9
138,Student_137,9C,61.1,61.1,44.8,68.5,5.0,49.5
139,Student_138,11A,74.8,40.7,70.4,89.8,6.6,67.2
140,Student_139,9C,50.2,40.6,71.8,49.1,26.7,46.0
141,Student_140,12C,67.7,55.0,57.8,63.3,33.9,64.6
142,Student_141,10A,80.7,85.0,81.3,81.4,25.9,74.5
143,Student_142,9A,45.7,56.1,59.9,62.0,37.9,51.8
144,Student_143,9C,67.2,37.5,63.8,68.9,45.2,57.8
145,Student_144,9C,68.1,56.3,59.6,49.2,5.0,63.5
146,Student_145,10B,74.4,55.9,62.2,68.6,31.2,70.7
147,Student_146,9C,50.2,20.0,46.7,60.6,165.5,46.7
148,Student_147,10C,49.2,59.2,41.8,75.8,36.6,55.0
149,Student_148,9C,71.3,56.5,84.3,78.4,56.6,68.0
150,Student_149,9B,68.6,70.4,50.1,96.7,18.7,60.1
151,Student_150,11B,68.0,87.7,48.1,70.5,74.4,70.6
152,Student_151,10C,69.2,76.9,31.9,67.2,74.1,64.0
153,Student_152,11A,56.8,56.0,53.1,65.5,36.8,71.8
154,Student_153,11B,67.8,43.4,43.5,58.4,186.5,69.6
155,Student_154,10C,68.5,98.6,85.0,67.4,6.7,68.0
156,Student_155,11B,56.4,60.9,76.1,59.2,5.0,56.1
157,Student_156,11A,87.4,60.2,52.4,65.2,73.5,77.9
158,Student_157,9B,70.7,59.6,93.5,80.1,82.3,89.5
159,Student_158,9A,50.7,63.0,75.7,49.9,6.4,47.1
160,Student_159,10C,72.9,57.8,57.5,77.8,15.4,53.1
161,Student_160,11A,53.3,51.4,27.0,80.1,5.0,60.6
162,Student_161,11A,74.4,51.8,94.1,61.5,17.4,70.8
163,Student_162,10B,78.9,59.5,42.5,35.4,74.2,57.0
164,Student_163,11A,55.2,51.8,39.0,55.1,36.5,54.4
165,Student_164,12C,76.6,49.3,76.3,79.9,21.4,52.3
166,Student_165,11C,70.0,61.6,96.2,62.7,23.2,70.4
167,Student_166,9C,74.9,56.2,81.4,50.0,5.0,66.4
168,Student_167,11C,87.8,82.6,69.9,56.4,17.8,80.8
169,Student_168,9A,62.1,20.2,70.3,73.9,52.0,50.0
170,Student_169,11A,56.0,76.4,73.9,70.1,182.9,79.1
171,Student_170,9C,54.3,78.7,72.6,59.9,93.9,64.2
172,Student_171,10B,55.2,28.9,65.9,58.2,5.0,50.4
173,Student_172,11C,64.1,54.9,63.5,57.9,114.4,61.3
174,Student_173,10C,69.1,54.4,61.1,51.0,76.4,61.3
175,Student_174,11A,68.3,38.9,51.4,84.0,75.8,56.6
176,Student_175,11C,74.9,48.3,58.1,58.8,30.6,65.1
177,Student_176,12B,65.2,43.3,38.3,78.8,25.4,60.3
178,Student_177,9A,82.4,86.3,60.6,82.8,18.0,75.0
179,Student_178,12B,61.8,74.0,48.2,76.0,5.0,61.8
180,Student_179,9A,97.6,79.1,46.5,57.4,13.0,64.2
181,Student_180,11A,72.5,70.8,64.5,68.2,14.2,65.6
182,Student_181,11A,54.7,43.1,81.5,62.7,33.1,58.0
183,Student_182,12C,52.1,52.1,74.9,51.3,68.8,75.2
184,Student_183,12C,70.8,67.3,40.0,67.2,32.1,55.6
185,Student_184,9A,62.3,41.7,48.1,47.7,5.0,58.2
186,Student_185,9C,73.6,70.7,75.2,78.4,158.3,88.9
187,Student_186,10C,70.7,56.4,48.2,57.0,143.0,70.2
188,Student_187,9B,64.1,54.4,58.9,65.6,76.9,74.4
189,Student_188,10B,54.8,70.7,69.7,66.7,237.4,82.0
190,Student_189,10A,46.8,66.7,48.4,59.6,39.3,57.2
191,Student_190,11B,59.6,54.6,63.5,70.6,164.5,70.7
192,Student_191,9B,75.3,77.4,43.3,56.8,5.0,70.6
193,Student_192,10C,67.6,43.8,53.6,74.3,22.8,64.9
194,Student_193,10C,50.1,69.2,66.5,45.5,12.8,52.2
195,Student_194,9B,67.1,68.9,39.7,64.6,10.9,51.3
196,Student_195,12C,69.6,55.4,68.2,88.2,7.6,64.5
197,Student_196,10A,54.4,64.9,61.7,50.0,48.7,54.2
198,Student_197,10A,66.8,41.2,69.7,54.2,76.0,61.5
199,Student_198,12A,65.7,73.9,65.1,69.7,43.2,75.8
200,Student_199,10C,51.3,57.2,81.1,65.3,7.9,56.2
201,Student_200,11B,69.3,52.2,63.8,67.6,83.3,66.6
202,Student_201,10B,71.7,75.7,56.0,69.4,50.5,70.0
203,Student_202,10C,78.0,49.4,63.7,71.3,24.6,70.1
204,Student_203,9B,77.6,38.9,69.6,77.4,56.1,53.4
205,Student_204,9B,48.5,36.7,62.7,68.3,15.0,46.5
206,Student_205,10A,53.7,69.1,62.6,59.9,21.2,60.5
207,Student_206,12B,71.2,40.8,52.2,71.7,124.7,73.5
208,Student_207,11A,71.2,86.3,52.7,87.7,17.2,68.6
209,Student_208,10A,71.2,28.8,42.4,61.3,31.7,41.1
210,Student_209,10B,100.0,85.4,86.5,50.3,110.4,93.8
211,Student_210,11B,71.9,63.2,44.6,77.4,61.5,62.6
212,Student_211,9B,78.6,58.5,52.3,61.4,5.0,55.1
213,Student_212,11C,76.4,51.8,51.9,34.8,8.0,52.2
214,Student_213,12C,72.8,66.0,74.5,74.0,5.0,67.3
215,Student_214,11A,61.2,59.4,57.9,56.0,49.8,56.6
216,Student_215,9B,74.1,76.5,79.5,61.8,29.7,59.4
217,Student_216,10C,55.7,61.7,52.6,67.3,7.2,61.5
218,Student_217,11A,62.2,62.3,65.9,65.5,158.4,80.6
219,Student_218,9C,59.2,54.5,50.3,72.2,37.7,62.2
220,Student_219,12B,66.0,59.1,92.0,57.3,13.8,59.2
221,Student_220,11B,92.8,64.6,45.4,69.7,34.7,69.7
222,Student_221,9B,42.6,34.3,66.3,59.6,56.9,50.2
223,Student_222,10B,73.2,39.8,70.9,72.6,5.0,64.6
224,Student_223,9C,45.6,71.1,67.8,71.0,16.1,63.3
225,Student_224,12A,59.3,62.6,59.4,50.8,82.2,58.1
226,Student_225,10B,78.1,57.2,60.2,77.1,30.8,68.2
227,Student_226,12A,65.8,60.3,62.6,56.0,39.5,64.9
228,Student_227,11C,52.1,65.2,59.9,73.5,28.4,68.5
229,Student_228,11C,56.4,51.9,75.5,67.8,5.0,62.6
230,Student_229,9C,73.2,48.3,92.9,86.9,9.1,74.8
231,Student_230,11C,56.2,62.9,54.2,60.1,29.5,58.1
232,Student_231,11C,67.6,45.3,42.8,58.5,11.7,61.7
233,Student_232,12B,65.5,66.1,60.8,62.7,5.0,63.9
234,Student_233,12C,57.2,34.5,98.1,59.1,92.8,59.4
235,Student_234,11C,90.7,75.4,50.7,73.4,198.7,96.1
236,Student_235,10A,72.6,67.1,84.9,42.0,78.8,76.0
237,Student_236,12C,40.7,63.8,85.5,49.3,96.1,59.7
238,Student_237,12C,67.2,74.7,54.2,49.1,13.9,58.7
239,Student_238,10C,57.1,85.0,70.0,75.4,161.7,81.2
240,Student_239,11B,75.2,75.2,84.8,85.2,11.0,78.5
241,Student_240,9B,55.5,32.4,56.7,61.6,151.2,61.4
242,Student_241,11A,63.6,40.8,59.1,60.8,263.1,76.3
243,Student_242,12C,71.1,50.6,53.9,63.9,62.2,73.1
244,Student_243,11B,75.4,60.4,47.8,78.1,198.5,85.1
245,Student_244,12B,50.6,67.8,52.9,50.9,42.1,57.4
246,Student_245,10C,61.0,49.1,44.9,66.1,15.0,59.4
247,Student_246,12C,59.3,62.8,62.5,75.7,28.7,56.4
248,Student_247,10C,57.2,48.7,51.2,69.5,45.0,58.8
249,Student_248,9B,86.2,50.8,65.3,65.5,5.0,77.0
250,Student_249,11A,69.9,38.9,40.2,76.0,48.7,56.2
251,Student_250,10C,49.9,46.2,66.6,27.9,198.6,57.3
252,Student_251,11A,76.0,39.7,73.7,71.8,10.5,59.0
253,Student_252,10A,90.5,45.4,34.1,54.5,78.7,57.8
254,Student_253,9A,77.4,75.8,67.2,39.2,119.2,70.2
255,Student_254,10B,46.8,45.8,79.2,69.6,143.9,63.4
256,Student_255,9B,59.2,99.5,45.1,80.9,161.1,71.2
257,Student_256,12C,80.2,67.4,85.4,61.2,36.9,74.2
258,Student_257,10C,56.5,62.8,67.9,75.4,189.3,80.9
259,Student_258,12B,70.3,47.1,52.1,84.0,70.8,59.6
260,Student_259,12A,74.3,70.5,61.2,80.1,8.8,77.7
261,Student_260,10C,53.9,51.4,69.8,84.3,32.4,64.0
262,Student_261,9A,64.3,61.8,63.1,72.6,63.4,72.7
263,Student_262,12A,30.0,98.4,69.5,64.0,14.2,55.8
264,Student_263,10C,52.7,58.6,49.1,42.2,51.2,58.5
265,Student_264,12A,62.0,77.2,64.4,59.8,54.9,60.7
266,Student_265,10A,50.0,49.5,42.2,52.0,8.9,52.2
267,Student_266,12A,84.6,59.5,60.4,91.2,41.6,74.6
268,Student_267,12C,47.8,86.6,49.3,60.7,73.8,66.6
269,Student_268,11B,59.7,50.6,51.7,64.6,34.5,49.3
270,Student_269,12C,66.6,87.2,79.3,70.2,5.0,66.5
271,Student_270,12A,82.3,70.6,77.3,63.6,5.0,75.4
272,Student_271,12B,47.8,51.6,70.5,85.0,22.1,52.5
273,Student_272,11A,79.0,69.5,46.7,54.9,130.3,75.8
274,Student_273,11C,65.1,74.6,57.6,65.5,13.0,55.6
275,Student_274,12C,53.2,69.3,79.0,53.3,50.3,68.9
276,Student_275,10B,70.5,36.4,64.0,45.8,12.6,47.1
277,Student_276,12A,67.4,49.1,94.5,55.0,19.4,67.9
278,Student_277,11A,57.8,56.3,67.5,62.5,94.2,68.5
279,Student_278,11B,65.8,58.9,64.7,57.4,65.3,60.4
280,Student_279,11C,60.4,69.3,57.7,54.0,5.0,62.0
281,Student_280,9A,66.4,62.7,63.9,44.7,28.0,62.2
282,Student_281,10A,72.9,40.0,59.9,61.9,5.0,54.0
283,Student_282,12C,84.0,65.7,71.9,43.4,32.8,63.3
284,Student_283,10C,50.1,69.2,75.4,72.9,54.3,53.4
285,Student_284,10A,90.6,68.4,51.0,64.1,6.3,71.2
286,Student_285,12B,41.6,76.2,43.4,44.1,17.0,40.9
287,Student_286,11C,63.2,72.5,36.3,59.0,25.4,58.9
288,Student_287,12B,72.1,66.9,69.1,53.2,126.0,72.2
289,Student_288,9A,68.4,58.9,46.6,67.1,249.9,82.1
290,Student_289,12B,57.5,35.1,31.9,80.4,5.0,45.9
291,Student_290,9C,62.5,66.4,67.4,38.6,71.6,61.5
292,Student_291,12B,59.1,63.1,96.9,64.5,23.2,71.8
293,Student_292,9B,57.9,64.1,61.9,60.9,24.9,61.8
294,Student_293,11B,75.2,40.8,73.7,71.7,70.2,69.5
295,Student_294,12C,69.3,43.8,63.1,65.8,125.3,70.5
296,Student_295,10B,56.7,75.8,60.6,53.2,150.7,61.7
297,Student_296,10B,75.8,59.4,74.9,58.9,43.0,73.2
298,Student_297,12B,68.7,70.2,57.9,52.7,22.1,66.5
299,Student_298,9B,74.8,60.4,65.7,77.0,77.5,66.1
300,Student_299,11C,72.6,60.4,66.5,63.3,14.5,63.0
301,Student_300,12C,55.1,74.1,52.6,87.7,41.5,64.6
302,Student_301,10B,58.3,52.3,75.9,62.2,22.2,58.9
303,Student_302,10C,74.0,61.4,59.6,53.8,53.4,67.5
304,Student_303,9B,72.3,53.1,51.4,43.3,13.7,65.1
305,Student_304,9A,64.7,53.5,69.5,39.6,10.6,63.2
306,Student_305,12A,66.4,55.4,49.4,42.4,125.2,55.5
307,Student_306,12A,80.3,63.3,62.4,66.5,5.4,70.6
308,Student_307,9B,57.9,52.8,61.9,69.6,35.3,67.1
309,Student_308,12B,71.6,78.8,77.2,42.4,12.5,69.9
310,Student_309,10B,62.6,46.6,68.6,74.6,5.0,65.4
311,Student_310,11B,62.4,57.2,61.6,56.7,5.0,69.4
312,Student_311,12B,78.2,53.4,73.4,64.9,9.6,72.1
313,Student_312,12B,74.9,81.7,81.5,84.0,100.8,85.1
314,Student_313,9B,74.8,62.9,69.8,74.7,16.6,74.7
315,Student_314,9C,80.7,75.5,62.1,59.5,150.2,81.3
316,Student_315,9B,65.3,37.7,43.6,51.4,43.6,52.3
317,Student_316,10C,73.2,64.0,47.1,35.0,28.7,56.5
318,Student_317,9C,61.3,73.3,57.7,53.7,43.4,72.2
319,Student_318,9A,68.9,61.2,53.5,60.3,36.4,57.1
320,Student_319,10A,63.4,76.0,59.4,50.2,71.1,75.5
321,Student_320,9C,66.2,52.2,62.8,61.3,16.6,62.3
322,Student_321,10A,72.1,81.1,69.4,64.0,21.8,62.4
323,Student_322,10B,55.2,94.5,61.0,60.1,112.3,75.3
324,Student_323,9C,90.1,54.6,68.8,54.5,146.4,66.2
325,Student_324,10B,52.9,53.3,62.9,65.2,111.5,66.9
326,Student_325,11B,50.4,81.8,34.3,68.7,27.2,62.8
327,Student_326,10C,78.9,83.7,48.8,48.8,75.8,68.1
328,Student_327,9A,74.5,52.2,60.0,81.3,32.3,66.6
329,Student_328,11A,72.5,53.7,45.1,61.7,34.4,71.5
330,Student_329,9B,72.5,55.8,70.4,63.2,11.5,60.8
331,Student_330,12B,64.9,39.8,83.4,72.2,44.7,57.4
332,Student_331,10A,54.2,46.2,79.1,66.0,10.3,66.0
333,Student_332,10A,65.9,44.9,59.0,75.4,20.1,70.8
334,Student_333,11C,56.9,48.5,82.9,66.7,96.6,66.4
335,Student_334,9C,76.7,59.5,64.1,55.0,11.6,69.8
336,Student_335,9B,63.2,63.5,57.3,67.7,5.0,68.1
337,Student_336,12C,55.1,83.3,53.4,48.1,5.0,53.9
338,Student_337,11A,61.1,45.0,57.8,64.4,141.3,62.3
339,Student_338,11A,70.0,74.8,56.6,62.6,35.4,74.1
340,Student_339,12B,58.2,56.8,64.4,60.3,26.3,68.7
341,Student_340,9B,55.1,59.3,64.2,61.3,83.3,66.2
342,Student_341,11C,67.9,70.1,62.0,38.5,90.3,61.4
343,Student_342,12C,67.9,43.2,68.1,55.9,20.2,70.1
344,Student_343,10B,58.9,65.7,78.7,64.2,59.1,64.0
345,Student_344,10C,59.3,62.5,75.3,65.1,73.7,65.1
346,Student_345,11C,67.8,67.4,41.2,49.6,53.2,62.6
347,Student_346,12B,47.6,64.3,26.2,79.5,8.2,59.9
348,Student_347,12C,48.1,96.8,75.1,51.7,104.3,77.3
349,Student_348,11B,56.4,50.4,42.9,75.6,38.7,57.8
350,Student_349,10A,62.4,52.0,58.9,68.6,16.6,61.0
351,Student_350,11B,68.7,50.7,45.6,54.6,27.7,56.5
352,Student_351,10B,82.7,51.7,36.8,86.1,5.0,65.9
353,Student_352,12B,75.3,50.4,69.6,47.5,6.8,45.4
354,Student_353,9B,63.1,77.8,72.6,74.9,72.5,71.3
355,Student_354,11A,64.8,81.3,53.9,76.0,5.0,67.0
356,Student_355,12A,53.0,51.4,25.7,54.3,26.9,39.9
357,Student_356,11B,64.8,47.5,54.4,81.1,37.0,62.9
358,Student_357,11B,61.5,67.1,67.5,59.7,5.0,59.9
359,Student_358,11C,68.9,51.7,41.3,66.8,180.7,80.3
360,Student_359,9C,55.1,69.5,64.6,66.4,12.8,70.0
361,Student_360,10A,71.2,63.0,61.8,61.3,18.1,60.9
362,Student_361,10C,83.4,37.3,70.1,73.5,18.1,64.1
363,Student_362,12B,63.7,83.2,63.7,73.3,13.1,67.4
364,Student_363,10C,69.8,86.9,48.4,40.3,5.0,59.6
365,Student_364,12C,73.3,50.8,78.8,80.0,65.3,72.5
366,Student_365,12B,60.2,54.2,59.8,41.4,170.3,61.9
367,Student_366,9A,67.7,64.3,61.6,76.4,12.7,57.8
368,Student_367,11A,65.2,65.0,48.9,77.6,54.4,68.6
369,Student_368,12C,66.2,69.9,55.8,48.8,67.7,68.3
370,Student_369,10B,55.7,90.2,49.6,57.7,94.3,63.3
371,Student_370,11B,65.3,57.3,59.6,48.6,27.5,64.0
372,Student_371,11B,71.0,48.0,86.0,60.2,18.0,60.7
373,Student_372,11B,82.4,39.3,42.8,59.0,19.7,59.2
374,Student_373,12B,76.5,49.0,39.4,73.1,62.3,67.8
375,Student_374,11B,90.8,59.5,82.6,80.0,84.9,81.8
376,Student_375,10A,55.8,86.9,59.1,81.1,10.0,68.8
377,Student_376,10B,75.5,52.2,52.6,55.7,23.2,57.1
378,Student_377,9C,67.2,63.4,76.6,60.3,116.1,71.8
379,Student_378,10A,91.3,59.8,53.5,41.1,82.2,69.1
380,Student_379,10C,55.3,77.8,87.6,52.5,209.5,76.5
381,Student_380,12B,54.9,97.9,71.5,75.5,70.2,73.9
382,Student_381,11A,57.8,52.0,55.2,84.0,25.0,49.6
383,Student_382,10B,39.5,52.7,92.2,47.0,44.7,53.1
384,Student_383,10B,58.7,75.7,53.5,55.3,54.1,61.1
385,Student_384,10B,55.9,70.2,72.4,62.7,5.0,59.9
386,Student_385,9C,66.8,87.7,66.2,66.6,39.3,70.2
387,Student_386,10B,69.1,68.8,80.2,52.5,61.8,69.9
388,Student_387,9A,87.5,54.6,83.9,68.5,9.2,74.9
389,Student_388,11C,76.4,68.9,62.4,56.8,75.9,76.3
390,Student_389,10C,58.1,76.6,51.5,62.8,43.8,58.8
391,Student_390,12A,54.2,72.3,68.4,70.1,152.1,66.2
392,Student_391,9C,70.9,67.6,52.5,63.1,5.0,55.8
393,Student_392,11B,49.2,76.0,90.2,57.3,15.4,61.2
394,Student_393,12B,87.0,77.5,63.9,61.6,46.0,73.4
395,Student_394,11A,79.2,80.7,56.9,61.9,17.6,65.3
396,Student_395,9B,59.4,69.7,64.6,58.2,62.7,57.1
397,Student_396,12A,44.4,57.5,43.1,59.6,71.1,50.5
398,Student_397,9B,81.2,62.2,48.4,83.8,5.4,67.8
399,Student_398,12A,63.6,78.1,78.8,70.3,36.1,74.6
400,Student_399,9A,79.9,47.7,52.8,59.2,35.6,58.8
401,Student_400,10C,45.9,65.5,47.3,72.1,23.0,52.1
402,Student_401,11A,57.8,54.1,69.5,58.7,135.1,61.7
403,Student_402,10A,65.1,60.4,78.6,78.3,87.9,72.2
404,Student_403,12C,65.6,79.2,72.1,67.8,59.7,67.0
405,Student_404,10C,59.6,62.9,75.9,61.6,62.6,69.5
406,Student_405,12B,72.5,60.7,51.4,68.8,31.0,52.9
407,Student_406,12B,52.2,39.6,42.1,42.6,126.9,51.0
408,Student_407,12B,63.3,71.2,83.0,48.4,59.3,70.4
409,Student_408,9C,66.4,69.7,57.5,47.5,65.3,65.6
